Algorithm,Version,Property,First Capital Violation,Camel Case Violation,Illegal Characters,Index Property Update,Usage
RenameLog,1,Workspace,False,False,False,False,2
SetMDFrame,1,InputWorkspace,False,False,False,False,2
SpecularReflectionPositionCorrect,1,SpectrumNumbersOfDetectors,False,False,False,True,2
SaveNexusProcessed,1,WorkspaceIndexList,False,False,False,True,383899
SpecularReflectionCalculateTheta,1,SpectrumNumbersOfDetectors,False,False,False,True,5
MoveInstrumentComponent,1,Workspace,False,False,False,False,637803
MoveInstrumentComponent,1,X,False,True,False,False,637803
MoveInstrumentComponent,1,Y,False,True,False,False,637803
MoveInstrumentComponent,1,Z,False,True,False,False,637803
SelectCellWithForm,1,PeaksWorkspace,False,False,False,False,63
OneMinusExponentialCor,1,C,False,True,False,False,5
OneMinusExponentialCor,1,C1,False,True,False,False,5
UpdatePeakParameterTableValue,1,InputWorkspace,False,False,False,False,3
LoadRawBin0,1,SpectrumList,False,False,False,True,2
SortDetectors,1,UpstreamSpectra,False,False,False,True,3
SortDetectors,1,DownstreamSpectra,False,False,False,True,3
LoadGSASInstrumentFile,1,Workspace,False,False,False,False,6
GetTimeSeriesLogInformation,1,InputWorkspace,False,False,False,False,2
LoadInstrument,1,Workspace,False,False,False,False,245834
ApplyCalibration,1,Workspace,False,False,False,False,4
LoadNexusProcessed,1,SpectrumList,False,False,False,True,4202
VesuvioDiffractionReduction,1,SpectraRange,False,False,False,True,375
CopySample,1,OutputWorkspace,False,False,False,False,1077
LoadRaw,3,SpectrumList,False,False,False,True,13243
SofQWMomentsScan,1,SpectraRange,False,False,False,True,0
SetSpecialCoordinates,1,InputWorkspace,False,False,False,False,4
FindPeaks,1,FWHM,False,True,False,False,614
PDCalibration,1,SignalWorkspace,False,False,False,False,22
PDCalibration,1,FWHM,False,True,False,False,22
RemoveLowResTOF,1,K,False,True,False,False,22
Symmetrise,1,SpectraRange,False,False,False,True,6
SaveVulcanGSS,1,IPTS,False,True,False,False,81
SavePlot1D,1,SpectraList,False,False,False,True,4
CalculatePeaksHKL,1,PeaksWorkspace,False,False,False,False,2693
GetEiT0atSNS,1,MonitorWorkspace,False,False,False,False,31
GetEiT0atSNS,1,T0,False,True,False,False,31
FindUBUsingLatticeParameters,1,PeaksWorkspace,False,False,False,False,3972
FakeMDEventData,1,InputWorkspace,False,False,False,False,9376
IntegrateEllipsoids,1,PeaksWorkspace,False,False,False,False,4687
AsymmetryCalc,1,ForwardSpectra,False,False,False,True,2824
AsymmetryCalc,1,BackwardSpectra,False,False,False,True,2824
MaskBins,1,SpectraList,False,False,False,True,27167
