Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
QueryRemoteJobv2,JobName,SCARFTomoReconstructionv1,RemoteJobName ,0
ReflectometryReductionOnev2,WavelengthMin,SNSPowderReductionv1,CropWavelengthMin ,21
LoadPreNexusLivev1,RunNumber,LiquidsReflectometryReductionv1,NormalizationRunNumber ,354
GSASIIRefineFitPeaksv1,MinX,MaskPeaksWorkspacev1,XMin ,13
SetupEQSANSReductionv1,BckTransmissionEmptyDataFile,SetupHFIRReductionv1,TransmissionEmptyDataFile ,10888
EQSANSTofStructurev1,WavelengthMin,AlignAndFocusPowderFromFilesv1,CropWavelengthMin ,47572
FlatPlateAbsorptionv1,SampleNumberDensity,FlatPlatePaalmanPingsCorrectionv1,SampleDensity ,8
SetupEQSANSReductionv1,BckThetaDependentTransmission,SetupHFIRReductionv1,ThetaDependentTransmission ,10888
ReflectometryReductionOneAutov1,WavelengthMin,AlignAndFocusPowderFromFilesv1,CropWavelengthMin ,8
LoadNexusMonitorsv2,LoadHistoMonitors,LoadVesuviov1,LoadMonitors ,24781
DgsReductionv1,IncidentEnergyGuess,SuggestTibHYSPECv1,IncidentEnergy ,44
ReflectometryReductionOneAutov2,ScaleFactor,OSIRISDiffractionReductionv1,ContainerScaleFactor ,38
ILLIN16BCalibrationv1,ScaleFactor,IndirectAnnulusAbsorptionv1,CanScaleFactor ,5
MultipleScatteringCylinderAbsorptionv1,SampleNumberDensity,VesuvioCorrectionsv1,SampleDensity ,4
AddSampleLogMultiplev1,LogNames,SNSPowderReductionv1,FrequencyLogNames ,2834
ReflectometryReductionOnev1,ScaleFactor,IndirectAnnulusAbsorptionv1,CanScaleFactor ,8
AlignAndFocusPowderv1,CropWavelengthMin,CreateTransmissionWorkspacev2,WavelengthMin ,1368
ConvertSpiceDataToRealSpacev1,DurationLogName,ExportTimeSeriesLogv1,LogName ,6
Stitch1DManyv1,ManualScaleFactor,Stitch1Dv3,UseManualScaleFactor ,293
MergeLogsv1,ResetLogValue,PlotPeakByLogValuev1,LogValue ,2
IndirectCylinderAbsorptionv2,SampleDensityType,IndirectAnnulusAbsorptionv1,SampleDensity ,25
SaveHKLv1,MinWavelength,CreateTransmissionWorkspaceAutov2,WavelengthMin ,77
AlignAndFocusPowderv1,CropWavelengthMin,SaveHKLv1,MinWavelength ,1368
ExtractSpectrav1,DetectorList,SetupILLD33Reductionv1,MaskedDetectorList ,32962
RemoveLowResTOFv1,MinWavelength,PDToGUDRUNv1,CropWavelengthMin ,22
