Algorithm,Property Name,Clashing Algorithm, Possible Name Duplicates,usage
IndirectCylinderAbsorptionv2,SampleDensityType,IndirectFlatPlateAbsorptionv2,SampleDensity ,25
EQSANSDirectBeamTransmissionv1,BeamCenterY,FindCenterOfMassPositionv2,CenterY ,5892
IntegratePeaksCWSDv1,ScaleFactor,ApplyPaalmanPingsCorrectionv1,CanScaleFactor ,2725
AlignAndFocusPowderv1,CropWavelengthMax,UnwrapMonitorsInTOFv1,WavelengthMax ,1368
SaveAsciiv1,WorkspaceIndexMax,ScaleXv1,IndexMax ,34
SetupEQSANSReductionv1,BckTransmissionMethod,SetupILLD33Reductionv1,TransmissionMethod ,10888
FindDetectorsInShapev1,DetectorList,SetupHFIRReductionv1,MaskedDetectorList ,4
LoadBBYv1,FilterByTimeStart,GetTimeSeriesLogInformationv1,FilterStartTime ,1
SetupHFIRReductionv1,SensitivityBeamCenterX,EQSANSLoadv1,BeamCenterX ,4666
VesuvioCorrectionsv1,FitParameters,PoldiFitPeaks2Dv1,RawFitParameters ,1789
AbsorptionCorrectionv1,SampleNumberDensity,VesuvioThicknessv1,NumberDensity ,6
MolDynv1,MaxEnergy,ResNormv1,EnergyMax ,9
IndirectFlatPlateAbsorptionv1,CanChemicalFormula,SetSampleMaterialv1,ChemicalFormula ,10
DiffractionEventCalibrateDetectorsv1,DetCalFilename,LoadCalFilev1,CalFilename ,2
VesuvioCorrectionsv1,FitParameters,RefinePowderInstrumentParametersv2,ParametersToFit ,1789
MuonGroupDetectorsv1,DetectorGroupingTable,CalMuonDetectorPhasesv1,DetectorTable ,19199
CreateTransmissionWorkspacev2,WavelengthMax,SaveHKLv1,MaxWavelength ,4
CylinderPaalmanPingsCorrectionv2,SampleDensityType,VesuvioCalculateMSv1,SampleDensity ,9
ChopDatav1,IntegrationRangeUpper,FindDeadDetectorsv1,RangeUpper ,361
EQSANSTofStructurev1,WavelengthMinFrame2,CreateTransmissionWorkspaceAutov2,WavelengthMin ,47572
FitPowderDiffPeaksv1,MinTOF,MaskPeaksWorkspacev1,TOFMin ,2
LoadNexusMonitorsv2,LoadHistoMonitors,LoadISISNexusv2,LoadMonitors ,24781
IndirectCylinderAbsorptionv2,CanDensityType,CalculateSampleTransmissionv1,DensityType ,25
UnwrapMonitorsInTOFv1,WavelengthMax,AlignAndFocusPowderFromFilesv1,CropWavelengthMax ,2
RefRoiv1,XPixelMax,CreateSampleWorkspacev1,XMax ,25236
LRPrimaryFractionv1,ScalingFactor,LRScalingFactorsv1,ScalingFactorFile ,3542
PDToPDFgetNv1,CropWavelengthMax,SaveHKLv1,MaxWavelength ,2
SaveGSASInstrumentFilev1,OutputFileName,CatalogPublishv1,FileName ,2
RemoveLowResTOFv1,MinWavelength,UnwrapMonitorsInTOFv1,WavelengthMin ,22
SetupHFIRReductionv1,IQ2DNumberOfBins,EQSANSAzimuthalAverage1Dv1,NumberOfBins ,4666
CylinderPaalmanPingsCorrectionv2,SampleDensityType,IndirectTransmissionv1,DensityType ,9
LoadFITSv1,HeaderMapFile,ISISIndirectEnergyTransferv1,MapFile ,147
SANSDirectBeamTransmissionv1,EmptyDataFilename,LoadDetectorInfov1,DataFilename ,5707
CreateTransmissionWorkspaceAutov1,WavelengthMin,SaveHKLv1,MinWavelength ,124
SetupHFIRReductionv1,TransmissionError,SetupILLD33Reductionv1,BckTransmissionError ,4666
RotateInstrumentComponentv1,ComponentName,SpecularReflectionPositionCorrectv2,DetectorComponentName SampleComponentName ,725374
SaveMDWorkspaceToVTKv1,RecursionDepth,MergeMDv1,MaxRecursionDepth ,10
IndirectQuickRunv1,RunNumbers,BASISReductionv1,NormRunNumbers ,5
CuboidGaugeVolumeAbsorptionv1,SampleNumberDensity,IndirectFlatPlateAbsorptionv2,SampleDensity ,2
ReflectometryReductionOnev1,WavelengthMax,PDToPDFgetNv1,CropWavelengthMax ,8
IntegratePeaksCWSDv1,ScaleFactor,SANSFitShiftScalev1,OutScaleFactor ,2725
FitPeakv1,BackgroundParameterNames,ProcessIndirectFitParametersv1,ParameterNames ,2
SetupEQSANSReductionv1,TransmissionBeamRadius,VesuvioCorrectionsv1,BeamRadius ,10888
IndirectCylinderAbsorptionv1,SampleDensity,FlatPlatePaalmanPingsCorrectionv1,SampleDensityType ,10
SANSBeamSpreaderTransmissionv1,DirectScatteringFilename,SetupHFIRReductionv1,TransDirectScatteringFilename ,0
DgsPreprocessDatav1,TofRangeOffset,EQSANSTofStructurev1,TofOffset ,28491
SetupEQSANSReductionv1,BckTransmissionSampleDataFile,SetupHFIRReductionv1,TransmissionSampleDataFile ,10888
EQSANSQ2Dv1,NumberOfBins,SetupEQSANSReductionv1,IQNumberOfBins IQ2DNumberOfBins ,15308
ElasticWindowv1,BackgroundRangeEnd,IndirectCalibrationv1,BackgroundRange ,2
GSASIIRefineFitPeaksv1,MinX,RemoveBinsv1,XMin ,13
ISISIndirectDiffractionReductionv1,InstrumentParFile,SaveNXSPEv1,ParFile ,1
SNSPowderReductionv1,CropWavelengthMin,CreateTransmissionWorkspaceAutov2,WavelengthMin ,757
IndirectFlatPlateAbsorptionv1,CanScaleFactor,ReflectometryReductionOneAutov1,ScaleFactor ,10
SANSSensitivityCorrectionv1,DarkCurrentFile,SetupHFIRReductionv1,SensitivityDarkCurrentFile TransmissionDarkCurrentFile ,6
IndirectCylinderAbsorptionv1,SampleRadius,IndirectAnnulusAbsorptionv2,SampleInnerRadius SampleOuterRadius ,10
IndirectCylinderAbsorptionv2,SampleRadius,EQSANSResolutionv1,SampleApertureRadius ,25
Integrationv1,RangeLowerList,IdentifyNoisyDetectorsv1,RangeLower ,217067
IndirectCylinderAbsorptionv2,CanScaleFactor,SANSStitchv1,ScaleFactor ,25
DgsReductionv1,HardMaskFile,BASISReductionv1,MaskFile ,44
PDToPDFgetNv1,CropWavelengthMax,CalculateTransmissionBeamSpreaderv1,MaxWavelength ,2
IndirectFlatPlateAbsorptionv1,CanDensityType,CalculateSampleTransmissionv1,DensityType ,10
SANSSubtractv1,ScaleFactor,Stitch1Dv3,ManualScaleFactor OutScaleFactor ,63
MonitorLiveDatav1,ProcessingScript,LoadLiveDatav1,ProcessingScriptFilename PostProcessingScript ,0
ConvertSpectrumAxisv2,EFixed,PreprocessDetectorsToMDv1,GetEFixed ,10483
AnnularRingAbsorptionv1,CanOuterRadius,IndirectCylinderAbsorptionv1,CanRadius ,10
MagnetismReflectometryReductionv1,LowResDataAxisPixelRange,LiquidsReflectometryReductionv1,LowResDataAxisPixelRangeFlag LowResNormAxisPixelRange ,84
GenerateEventsFilterv1,LogName,AddLogDerivativev1,NewLogName ,667
LoadFITSv1,HeaderMapFile,GroupDetectorsv2,MapFile ,147
PDToGUDRUNv1,CropWavelengthMin,SaveHKLv1,MinWavelength ,1
IndirectCylinderAbsorptionv2,SampleRadius,TOFSANSResolutionv1,SampleApertureRadius ,25
CalibrateRectangularDetectorsv1,MinimumPeakHeight,GetDetOffsetsMultiPeaksv1,MinimumPeakHeightObs ,7
IndirectCylinderAbsorptionv2,SampleRadius,SphericalAbsorptionv1,SphericalSampleRadius ,25
IntegratePeaksCWSDv1,ScaleFactor,IndirectAnnulusAbsorptionv1,CanScaleFactor ,2725
BayesQuasiv1,MaxRange,NormaliseToMonitorv1,IntegrationRangeMax ,80
ReflectometryReductionOneAutov1,SampleComponentName,CreateGroupingWorkspacev1,ComponentName ,8
EQSANSTofStructurev1,WavelengthMinFrame2,SaveHKLv1,MinWavelength ,47572
SetupHFIRReductionv1,TransmissionDarkCurrentFile,SetupILLD33Reductionv1,DarkCurrentFile BckTransmissionDarkCurrentFile ,4666
CalculateResolutionv1,TwoThetaOut,ReflectometryReductionOneAutov1,ThetaOut ,4017469
PawleyFitv1,PeakProfileFunction,PoldiDataAnalysisv1,ProfileFunction ,2
IndirectFlatPlateAbsorptionv1,CanChemicalFormula,CalculateSampleTransmissionv1,ChemicalFormula ,10
DgsReductionv1,IncidentEnergyGuess,FilterEventsv1,IncidentEnergy ,44
ReflectometryReductionOnev2,WavelengthMax,TOFSANSResolutionv1,MaxWavelength ,21
GetEiT0atSNSv1,IncidentEnergyGuess,SuggestTibCNCSv1,IncidentEnergy ,31
MolDynv1,MaxEnergy,MuscatSofQWv1,EnergyMax ,9
SANSSensitivityCorrectionv1,MaskedFullComponent,SetupHFIRReductionv1,MaskedComponent ,6
ReflectometryReductionOneAutov2,ScaleFactor,ISISIndirectDiffractionReductionv1,ContainerScaleFactor ,38
FindPeaksMDv1,EdgePixels,SmoothNeighboursv1,ZeroEdgePixels ,14442
PDToPDFgetNv1,CropWavelengthMax,UnwrapMonitorsInTOFv1,WavelengthMax ,2
EQSANSAzimuthalAverage1Dv1,NumberOfBins,ResampleXv1,NumberBins ,10674
DakotaChiSquaredv1,DataFile,CatalogSearchv1,DataFileName ,5
IndirectTransmissionv1,ChemicalFormula,IndirectFlatPlateAbsorptionv2,SampleChemicalFormula CanChemicalFormula ,11
SetupEQSANSReductionv1,SampleDetectorDistanceOffset,HFIRLoadv1,SampleDetectorDistance ,10888
SaveLauenormv1,MaxWavelength,PDToPDFgetNv1,CropWavelengthMax ,35
LoadPreNexusLivev1,RunNumber,RefLReductionv1,NormalizationRunNumber ,354
IndirectCylinderAbsorptionv1,CanRadius,IndirectAnnulusAbsorptionv2,CanInnerRadius CanOuterRadius ,10
IntegratePeaksCWSDv1,NormalizeByMonitor,GetSpiceDataRawCountsFromMDv1,NormalizeByMonitorCounts ,2725
CylinderPaalmanPingsCorrectionv2,CanDensityType,IndirectTransmissionv1,DensityType ,9
SetupEQSANSReductionv1,TransmissionBeamCenterY,SetupHFIRReductionv1,BeamCenterY BckTransmissionBeamCenterY ,10888
SetupEQSANSReductionv1,TransmissionBeamRadius,SetupILLD33Reductionv1,BeamRadius BckTransmissionBeamRadius ,10888
EQSANSResolutionv1,MinWavelength,EQSANSTofStructurev1,WavelengthMin WavelengthMinFrame2 ,10831
AlignAndFocusPowderv1,CropWavelengthMin,UnwrapMonitorsInTOFv1,WavelengthMin ,1368
CylinderAbsorptionv1,SampleNumberDensity,VesuvioCalculateMSv1,SampleDensity ,289
FitPeakv1,PeakFunctionType,FindPeaksv1,PeakFunction ,2
TOSCABankCorrectionv1,PeakFunction,FitPeakv1,PeakFunctionType ,7
AlignAndFocusPowderFromFilesv1,CropWavelengthMax,CreateTransmissionWorkspacev1,WavelengthMax ,214
IndirectAnnulusAbsorptionv2,SampleDensity,IndirectFlatPlateAbsorptionv2,SampleDensityType ,17
SetupHFIRReductionv1,TransmissionBeamRadius,FindCenterOfMassPositionv1,BeamRadius ,4666
GetDetectorOffsetsv1,XMin,GSASIIRefineFitPeaksv1,MinX ,1
ReflectometryReductionOnev2,WavelengthMax,AlignAndFocusPowderFromFilesv1,CropWavelengthMax ,21
IndirectFlatPlateAbsorptionv1,SampleDensity,SetSampleMaterialv1,SampleNumberDensity SampleMassDensity ,10
GetEiMonDetv2,NominalIncidentEnergy,FilterEventsv1,IncidentEnergy ,2
CalibrateRectangularDetectorsv1,MinimumPeakHeightObs,PoldiDataAnalysisv1,MinimumPeakHeight ,7
PDToGUDRUNv1,GroupingFile,DgsRemapv1,OldGroupingFile ,1
AddSampleLogv1,RelativeTime,ChangeTimeZerov1,RelativeTimeOffset ,91869
RawFileInfov1,TimeChannelCount,USANSSimulationv1,CountTime ,16
IndirectILLReductionQENSv1,CalibrationPeakRange,LRPeakSelectionv1,PeakRange ,189
IndirectAnnulusAbsorptionv1,CanDensity,CylinderPaalmanPingsCorrectionv2,CanDensityType ,10
MaskWorkspaceToCalFilev1,OutputFile,ConvertSnsRoiFileToMaskv1,OutputFilePrefix ,82
ProcessBackgroundv1,OutputBackgroundType,FitPeakv1,BackgroundType ,12
PDCalibrationv1,OutputCalibrationTable,VesuvioPeakPredictionv1,OutputTable ,22
ApplyPaalmanPingsCorrectionv1,CanScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,95
SetupEQSANSReductionv1,MaskedDetectorList,ExtractMaskv1,DetectorList ,10888
ApplyTransmissionCorrectionv1,TransmissionError,CalculateTransmissionBeamSpreaderv1,SpreaderTransmissionError ,12031
SetupEQSANSReductionv1,TransmissionEmptyDataFile,SetupHFIRReductionv1,BckTransmissionEmptyDataFile ,10888
NormaliseToMonitorv1,IntegrationRangeMax,Squaresv1,MaxRange ,52
SANSBeamSpreaderTransmissionv1,ThetaDependent,SetupHFIRReductionv1,ThetaDependentTransmission ,0
SANSSubtractv1,ScaleFactor,IndirectCylinderAbsorptionv1,CanScaleFactor ,63
CalculateSampleTransmissionv1,DensityType,IndirectCylinderAbsorptionv1,SampleDensityType CanDensityType ,7
SaveMDv2,UpdateFileBackEnd,AccumulateMDv1,FileBackEnd ,22
SANSSliceEventv1,DataType,CalculateMuonAsymmetryv1,InputDataType ,829
SANSAbsoluteScalev1,ScalingFactor,LRScalingFactorsv1,ScalingFactorFile ,15223
GenerateEventsFilterv1,MaximumLogValue,PlotAsymmetryByLogValuev1,LogValue ,667
PDToGUDRUNv1,CropWavelengthMin,UnwrapMonitorsInTOFv1,WavelengthMin ,1
MaskBinsv1,XMin,GSASIIRefineFitPeaksv1,MinX ,27167
RefRoiv1,XPixelMax,CrossCorrelatev1,XMax ,25236
EQSANSDirectBeamTransmissionv1,BeamCenterX,SANSBeamFinderv1,FoundBeamCenterX ,5892
ReflectometryReductionOnev1,WavelengthMin,PDToGUDRUNv1,CropWavelengthMin ,8
SNSPowderReductionv1,CropWavelengthMin,RemoveLowResTOFv1,MinWavelength ,757
CalculateCountRatev1,NormalizationLogName,AddLogDerivativev1,LogName ,2
ApplyTransmissionCorrectionv1,TransmissionValue,SetupEQSANSReductionv1,BckTransmissionValue ,12031
SetupHFIRReductionv1,BckTransmissionBeamCenterY,SetupILLD33Reductionv1,TransmissionBeamCenterY ,4666
HRPDSlabCanAbsorptionv1,SampleNumberDensity,IndirectAnnulusAbsorptionv2,SampleDensity ,2
IndirectFlatPlateAbsorptionv1,CanScaleFactor,SANSStitchv1,ScaleFactor ,10
EnggCalibrateFullv1,RebinBinWidth,SimulatedDensityOfStatesv1,BinWidth ,4
SetupEQSANSReductionv1,BeamCenterMethod,SetupILLD33Reductionv1,SensitivityBeamCenterMethod TransmissionBeamCenterMethod ,10888
SetSampleMaterialv1,AttenuationXSection,HRPDSlabCanAbsorptionv1,SampleAttenuationXSection ,372
LoadNexusMonitorsv2,LoadHistoMonitors,LoadPreNexusv1,LoadMonitors ,24781
PoldiFitPeaks1Dv1,PoldiPeakTable,PawleyFitv1,PeakTable ,4
RefRoiv1,XPixelMax,GSASIIRefineFitPeaksv1,MaxX ,25236
IndirectAnnulusAbsorptionv2,CanScaleFactor,SANSStitchv1,ScaleFactor ,17
CalibrateRectangularDetectorsv1,PeakHalfWidth,SimulatedDensityOfStatesv1,PeakWidth ,7
IndirectCylinderAbsorptionv1,CanScaleFactor,ReflectometryReductionOneAutov1,ScaleFactor ,10
FitPeakv1,FittedBackgroundParameterValues,GeneratePeaksv1,BackgroundParameterValues ,2
RenameLogv1,NewLogName,SumEventsByLogValuev1,LogName ,2
IndirectSampleChangerv1,FirstRun,ApplyNegMuCorrectionv1,FirstRunNumber ,0
Maxv1,EndWorkspaceIndex,ProjectMDv1,EndIndex ,304
CalculateCoverageDGSv1,IncidentEnergy,DgsConvertToEnergyTransferv1,IncidentEnergyGuess ,24555
Stitch1Dv3,OutScaleFactor,SANSFitShiftScalev1,ScaleFactor ,2088
SaveDiffFittingAsciiv1,RunNumber,RefLReductionv1,NormalizationRunNumber ,2
IntegratePeaksCWSDv1,ScaleFactor,SANSStitchv1,OutScaleFactor ,2725
FilterByTimev1,StopTime,GetTimeSeriesLogInformationv1,FilterStopTime ,828
GetEiT0atSNSv1,IncidentEnergyGuess,GetEiv1,IncidentEnergy ,31
RefLReductionv1,AngleOffsetError,LiquidsReflectometryReductionv1,AngleOffset ,14
SumSpectrav1,EndWorkspaceIndex,ProjectMDv1,EndIndex ,44082
FitPeakv1,FittedPeakParameterValues,GeneratePeaksv1,PeakParameterValues ,2
Stitch1Dv3,OutScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,2088
MedianDetectorTestv1,StartWorkspaceIndex,ProjectMDv1,StartIndex ,181
GetEiv2,PeakSearchRange,LRPeakSelectionv1,PeakRange ,28593
EQSANSTofStructurev1,WavelengthMax,CalculateTransmissionBeamSpreaderv1,MaxWavelength ,47572
SaveGSASInstrumentFilev1,InputFileName,AngularAutoCorrelationsSingleAxisv1,InputFile ,2
FlatPlatePaalmanPingsCorrectionv1,SampleDensityType,VesuvioCorrectionsv1,SampleDensity ,43
IndirectCylinderAbsorptionv1,CanDensityType,IndirectAnnulusAbsorptionv2,CanDensity ,10
SetupHFIRReductionv1,IQNumberOfBins,SANSAzimuthalAverage1Dv1,NumberOfBins ,4666
CalculateSampleTransmissionv1,ChemicalFormula,FlatPlatePaalmanPingsCorrectionv1,SampleChemicalFormula CanChemicalFormula ,7
PreprocessDetectorsToMDv1,UpdateMasksInfo,ConvertToMDv1,UpdateMasks ,20
IndirectSampleChangerv1,LastRun,ApplyNegMuCorrectionv1,LastRunNumber ,0
CylinderAbsorptionv1,SampleNumberDensity,IndirectAnnulusAbsorptionv2,SampleDensity ,289
RenameLogv1,OriginalLogName,ExportTimeSeriesLogv1,LogName ,2
LoadSwansv1,FilenameMetaData,ExaminePowderDiffProfilev1,DataFilename ,0
IndirectFlatPlateAbsorptionv1,SampleChemicalFormula,CalculateSampleTransmissionv1,ChemicalFormula ,10
CylinderAbsorptionv1,AttenuationXSection,HRPDSlabCanAbsorptionv1,SampleAttenuationXSection ,289
GetEiT0atSNSv1,IncidentEnergyGuess,DetectorEfficiencyCorUserv1,IncidentEnergy ,31
IndirectCylinderAbsorptionv2,CanDensityType,IndirectAnnulusAbsorptionv1,CanDensity ,25
EQSANSTofStructurev1,WavelengthMaxFrame2,UnwrapMonitorsInTOFv1,WavelengthMax ,47572
OSIRISDiffractionReductionv1,ContainerScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,6
RefRoiv1,XPixelMin,Symmetrisev1,XMin ,25236
GenerateEventsFilterv1,LogValueInterval,PlotAsymmetryByLogValuev1,LogValue ,667
ReflectometryReductionOnev1,FirstTransmissionRun,PoldiLoadRunsv1,FirstRun ,8
PDToPDFgetNv1,CropWavelengthMin,SaveHKLv1,MinWavelength ,2
AddLogDerivativev1,NewLogName,FilterLogByTimev1,LogName ,6
SetupHFIRReductionv1,TransmissionBeamCenterX,SetupILLD33Reductionv1,BeamCenterX BckTransmissionBeamCenterX ,4666
CreateMDHistoWorkspacev1,NumberOfBins,ResampleXv1,NumberBins ,232
PDToGUDRUNv1,CropWavelengthMax,CreateTransmissionWorkspacev1,WavelengthMax ,1
BASISReduction311v1,GroupDetectors,CreateGroupingWorkspacev1,GroupDetectorsBy ,1
PoldiLoadRunsv1,OverwriteExistingWorkspace,RenameWorkspacesv1,OverwriteExisting ,62
AverageLogDatav1,LogName,CalculateCountRatev1,NormalizationLogName ,2
Stitch1DManyv1,UseManualScaleFactor,Stitch1Dv3,ManualScaleFactor ,293
SaveGSASInstrumentFilev1,TwoTheta,SpecularReflectionPositionCorrectv1,TwoThetaIn ,2
SetSampleMaterialv1,ChemicalFormula,IndirectCylinderAbsorptionv1,SampleChemicalFormula CanChemicalFormula ,372
RenameLogv1,NewLogName,AddSampleLogv1,LogName ,2
GSASIIRefineFitPeaksv1,MaxX,RemoveBinsv1,XMax ,13
CreateLogPropertyTablev1,LogPropertyNames,LoadLogPropertyTablev1,LogNames ,22
SNSPowderReductionv1,CropWavelengthMin,CreateTransmissionWorkspacev1,WavelengthMin ,757
SANSSensitivityCorrectionv1,DarkCurrentFile,SetupEQSANSReductionv1,SensitivityDarkCurrentFile TransmissionDarkCurrentFile ,6
OSIRISDiffractionReductionv1,CalFile,AlignAndFocusPowderFromFilesv1,CalFileName ,6
ReflectometryReductionOnev2,WavelengthMax,PDToPDFgetNv1,CropWavelengthMax ,21
SANSDirectBeamTransmissionv1,BeamCenterX,SetupILLD33Reductionv1,SensitivityBeamCenterX TransmissionBeamCenterX ,5707
OSIRISDiffractionReductionv1,ContainerScaleFactor,ConvertCWPDMDToSpectrav1,ScaleFactor ,6
SetupHFIRReductionv1,MaskedFullComponent,SANSMaskv1,MaskedComponent ,4666
AlignAndFocusPowderv1,CropWavelengthMin,RemoveLowResTOFv1,MinWavelength ,1368
IndirectFlatPlateAbsorptionv1,CanDensityType,CylinderPaalmanPingsCorrectionv2,CanDensity ,10
PDToGUDRUNv1,CropWavelengthMax,TOFSANSResolutionv1,MaxWavelength ,1
EQSANSLoadv1,BeamCenterY,SANSBeamFinderv1,FoundBeamCenterY ,22910
RefRoiv1,XPixelMax,CalculateCountRatev1,XMax ,25236
SNSPowderReductionv1,GroupingFile,GetDetOffsetsMultiPeaksv1,GroupingFileName ,757
SetupHFIRReductionv1,SensitivityBeamCenterY,HFIRLoadv1,BeamCenterY ,4666
IndirectCylinderAbsorptionv1,CanScaleFactor,SANSStitchv1,ScaleFactor ,10
CalculateResolutionv1,TwoThetaOut,SpecularReflectionCalculateThetav1,TwoTheta ,4017469
PoldiDataAnalysisv1,ProfileFunction,PoldiFitPeaks2Dv1,PeakProfileFunction ,2
SANSSensitivityCorrectionv1,UseSampleDC,SetupHFIRReductionv1,TransmissionUseSampleDC ,6
IndirectAnnulusAbsorptionv1,CanScaleFactor,SANSStitchv1,ScaleFactor ,10
LoadBBYv1,FilterByTimeStop,LoadEventNexusv1,FilterMonByTimeStop ,1
SaveLauenormv1,MaxWavelength,AlignAndFocusPowderFromFilesv1,CropWavelengthMax ,35
PDToGUDRUNv1,GroupingFile,DiffractionFocussingv1,GroupingFileName ,1
ReflectometryReductionOneAutov2,WavelengthMax,PDToGUDRUNv1,CropWavelengthMax ,38
SetupEQSANSReductionv1,TransmissionBeamCenterMethod,SetupILLD33Reductionv1,BeamCenterMethod BckTransmissionBeamCenterMethod ,10888
SetupEQSANSReductionv1,BckThetaDependentTransmission,SetupILLD33Reductionv1,ThetaDependentTransmission ,10888
ISISIndirectDiffractionReductionv1,ContainerScaleFactor,IndirectResolutionv1,ScaleFactor ,1
VesuvioCorrectionsv1,MultipleScattering,VesuvioCalculateMSv1,MultipleScatteringWS ,1789
CorrectTOFAxisv1,EPPTable,GetEiMonDetv2,DetectorEPPTable MonitorEPPTable ,10
RefinePowderDiffProfileSeqv1,OutputProjectFilename,SaveISISNexusv1,OutputFilename ,0
CreateDummyCalFilev1,CalFilename,CreateGroupingWorkspacev1,OldCalFilename ,3
Integrationv1,StartWorkspaceIndex,ProjectMDv1,StartIndex ,217067
AnnularRingAbsorptionv1,SampleNumberDensity,CylinderPaalmanPingsCorrectionv2,SampleDensity ,10
SANSBeamSpreaderTransmissionv1,SpreaderTransmissionError,SetupHFIRReductionv1,TransmissionError BckSpreaderTransmissionError ,0
LoadSpiceXML2DDetv1,DetectorLogName,GetTimeSeriesLogInformationv1,LogName ,87303
CreateTransmissionWorkspaceAutov1,WavelengthMin,EQSANSTofStructurev1,WavelengthMinFrame2 ,124
CylinderPaalmanPingsCorrectionv2,CanDensity,FlatPlatePaalmanPingsCorrectionv1,CanDensityType ,9
Stitch1DManyv1,ManualScaleFactor,SANSSubtractv1,ScaleFactor ,293
MaskWorkspaceToCalFilev1,OutputFile,SaveGSASInstrumentFilev1,OutputFileName ,82
SaveFITSv1,BitDepth,ImggAggregateWavelengthsv1,OutputBitDepth ,1
IndirectCylinderAbsorptionv1,SampleChemicalFormula,IndirectTransmissionv1,ChemicalFormula ,10
CreateTransmissionWorkspacev2,WavelengthMax,AlignAndFocusPowderFromFilesv1,CropWavelengthMax ,4
FitPeakv1,CostFunctionValue,EstimateFitParametersv1,CostFunction ,2
ReflectometryReductionOneAutov1,SampleComponentName,ClearMaskFlagv1,ComponentName ,8
IndirectCylinderAbsorptionv2,CanDensityType,IndirectFlatPlateAbsorptionv2,CanDensity ,25
GSASIIRefineFitPeaksv1,InstrumentFile,VesuvioDiffractionReductionv1,InstrumentParFile ,13
SANSStitchv1,OutScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,2
EnggCalibratev1,DetectorPositions,ReflectometryReductionOneAutov1,CorrectDetectorPositions ,6
ReflectometryReductionOnev1,ScaleFactor,SANSFitShiftScalev1,OutScaleFactor ,8
SaveReflCustomAsciiv1,WriteDeltaQ,Qxyv1,DeltaQ ,184
SaveMDv1,UpdateFileBackEnd,AccumulateMDv1,FileBackEnd ,2
ReflectometryReductionOneAutov2,WavelengthMin,SaveHKLv1,MinWavelength ,38
CalibrateRectangularDetectorsv1,RunNumber,ConvertSpiceDataToRealSpacev1,RunNumberName ,7
Integrationv1,EndWorkspaceIndex,ProjectMDv1,EndIndex ,217067
CorrectTOFAxisv1,EFixed,PreprocessDetectorsToMDv1,GetEFixed ,10
IndirectResolutionv1,ScaleFactor,SANSStitchv1,OutScaleFactor ,17
CreateTransmissionWorkspacev2,FirstTransmissionRun,IndirectSampleChangerv1,FirstRun ,4
ChopDatav1,IntegrationRangeLower,NormaliseToUnityv1,RangeLower ,361
SaveHKLv1,MinWavelength,ReflectometryReductionOneAutov1,WavelengthMin ,77
SpecularReflectionPositionCorrectv1,SampleComponentName,MoveInstrumentComponentv1,ComponentName ,2
CylinderPaalmanPingsCorrectionv2,SampleDensity,IndirectCylinderAbsorptionv1,SampleDensityType ,9
LoadVesuviov1,InstrumentParFile,SaveNXSPEv1,ParFile ,1531
CylinderPaalmanPingsCorrectionv2,CanDensity,IndirectAnnulusAbsorptionv2,CanDensityType ,9
CylinderPaalmanPingsCorrectionv2,CanDensity,IndirectCylinderAbsorptionv1,CanDensityType ,9
Integrationv1,RangeUpperList,FindDeadDetectorsv1,RangeUpper ,217067
SofQWMomentsScanv1,SampleEnvironmentLogName,GetSpiceDataRawCountsFromMDv1,SampleLogName ,0
LoadEventAndCompressv1,FilterMonByTofMin,LoadEventNexusv1,FilterByTofMin ,50
SetupEQSANSReductionv1,TransmissionBeamCenterX,SetupILLD33Reductionv1,BeamCenterX BckTransmissionBeamCenterX ,10888
ReflectometryReductionOneAutov1,ScaleFactor,SANSFitShiftScalev1,OutScaleFactor ,8
CreateTransmissionWorkspaceAutov1,WavelengthMax,CalculateTransmissionBeamSpreaderv1,MaxWavelength ,124
PDCalibrationv1,MinimumPeakHeight,FindPeaksv1,MinimumPeakHeightObs ,22
IndirectAnnulusAbsorptionv1,CanScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,10
ISISIndirectDiffractionReductionv1,ContainerScaleFactor,He3TubeEfficiencyv1,ScaleFactor ,1
GetEiMonDetv2,NominalIncidentEnergy,DetectorEfficiencyCorv1,IncidentEnergy ,2
ReflectometryReductionOneAutov2,ScaleFactor,IndirectCylinderAbsorptionv1,CanScaleFactor ,38
GenerateEventsFilterv1,StartTime,GetTimeSeriesLogInformationv1,FilterStartTime ,667
ILLIN16BCalibrationv1,ScaleFactor,ISISIndirectDiffractionReductionv1,ContainerScaleFactor ,5
MagnetismReflectometryReductionv1,NormalizationRunNumber,LoadPreNexusLivev1,RunNumber ,84
VesuvioCorrectionsv1,SampleDensity,IndirectFlatPlateAbsorptionv2,SampleDensityType ,1789
FindUBUsingMinMaxDv1,MinD,AlignAndFocusPowderv1,DMin ,6
SNSPowderReductionv1,CropWavelengthMax,CreateTransmissionWorkspacev1,WavelengthMax ,757
ConvertAxesToRealSpacev1,VerticalAxis,CreateWorkspacev1,VerticalAxisUnit VerticalAxisValues ,5
ConvertCWPDMDToSpectrav1,ScaleFactor,IndirectFlatPlateAbsorptionv2,CanScaleFactor ,2
