id,Title,State,Created At,Updated At,Assignee,isPR,Author,milestone
16061,Changed name and return type of isDistribution setter in matrix workspace,closed,2016-05-04,2016-05-18,martyngigg,Y,ianbush,Release 3.7
16060,Vesuvio - VesuvioTOFFit incorrect params output,closed,2016-05-04,2016-05-12,martyngigg,Y,ElliotAOram,Release 3.7
16059,Documentation for Calibration Approaches,closed,2016-05-04,2016-05-11,KarlPalmen,Y,NickDraper,Release 3.7
16058,Add table to LoadMcStas documention to explain loading ,closed,2016-05-04,2016-05-06,Anders-Markvardsen,Y,KarlPalmen,Release 3.7
16057,Use Scoped Enum for Geometry types,closed,2016-05-04,2016-05-13,LamarMoore,N,LamarMoore,Release 3.7
16056,Vesuvio - Improve confidence in VesuvioCommands systemtest,closed,2016-05-04,2016-06-15,ElliotAOram,N,ElliotAOram,Release 3.8
16055,New algorithm to correct TOF according to the fitted EPP,closed,2016-05-04,2016-05-11,ianbush,Y,mganeva,Release 3.7
16054,Make AllTests does not build Python dataobjects dependency,open,2016-05-04,2016-10-14,,N,ianbush,Temporary Holding
16053,Cleanup creating and passing boost::shared_ptr.,closed,2016-05-03,2016-05-10,AntonPiccardoSelg,Y,quantumsteve,Release 3.7
16052,Skip history loading for LoadMD,closed,2016-05-03,2016-05-04,rosswhitfield,Y,AndreiSavici,Release 3.7
16051,Allow LoadMD to skip loading history,closed,2016-05-03,2016-05-04,AndreiSavici,N,AndreiSavici,Release 3.7
16050,GetEi version 1 does not work anymore,closed,2016-05-03,2016-05-05,quantumsteve,Y,abuts,Release 3.7
16049,GetEi version 1 does not work any more.,closed,2016-05-03,2016-05-05,abuts,N,abuts,Release 3.7
16048,Miscellaneous improvements in the Tomography GUI,closed,2016-05-03,2016-05-12,FedeMPouzols,N,FedeMPouzols,Release 3.7
16047,Add missing requirements in developer rpm,closed,2016-05-03,2016-05-11,quantumsteve,Y,peterfpeterson,Release 3.7
16046,Use std::isfinite,closed,2016-05-03,2016-05-04,peterfpeterson,Y,quantumsteve,Release 3.7
16045,Add docs-test example for LoadNexus with LoadTOFRawNexus,closed,2016-05-03,2017-01-16,,N,FedeMPouzols,Temporary Holding
16044,Implement SetSample algorithm ,closed,2016-05-03,2016-05-27,martyngigg,N,martyngigg,Release 3.7
16043,Implement CalculateSampleCorrections workflow algorithm ,open,2016-05-03,2016-10-03,martyngigg,N,martyngigg,
16042,Convert a Python dict to a C++ PropertyManager for algorithms,closed,2016-05-03,2016-05-05,AntonPiccardoSelg,Y,martyngigg,Release 3.7
16041,Crystal field spectrum function,closed,2016-05-03,2016-05-04,martyngigg,Y,mantid-roman,Release 3.7
16040,Rename Opening Height element in POLREF and CRISP IDFs,closed,2016-05-03,2016-05-05,raquelalvarezbanos,Y,MattKing06,Release 3.7
16039,Vesuvio - Intensity constraints not functioning as expected,closed,2016-05-03,2016-05-27,ElliotAOram,N,ElliotAOram,Release 3.7
16038,Sort members of a WorkspaceGroup by workspace name,closed,2016-05-02,2016-05-03,AndreiSavici,Y,jmborr,Release 3.7
16037,Sort members of a WorkspaceGroup by workspace name,closed,2016-05-02,2016-05-03,jmborr,N,jmborr,Release 3.7
16036,HistogramData module (X data only),closed,2016-05-02,2016-07-08,SimonHeybrock,Y,SimonHeybrock,Release 3.8
16035,Displaying a table no longer removes whitespace characters from string columns,closed,2016-05-02,2016-05-09,martyngigg,Y,MichaelWedel,Release 3.7
16034,Add a PropertyManagerProperty type,closed,2016-05-02,2016-05-04,AntonPiccardoSelg,Y,martyngigg,Release 3.7
16033,Fix system test PearlPowderDiffractionScriptTest on rhel6,closed,2016-05-01,2016-05-03,shahrozahmed1,Y,FedeMPouzols,Release 3.7
16032,Enable to FilterEvents to split integer TimeSeriesProperty,closed,2016-04-30,2016-05-17,VickieLynch,Y,wdzhou,Release 3.7
16031,MaxEnt: add property to correct for phase shift,closed,2016-04-29,2016-05-05,tom-perkins,Y,raquelalvarezbanos,Release 3.7
16030,Fix error initializing python with broken files,closed,2016-04-29,2016-05-03,martyngigg,Y,peterfpeterson,Release 3.7
16029,Convert a Python `dict` to a C++ PropertyManager,closed,2016-04-29,2016-05-05,martyngigg,N,martyngigg,Release 3.7
16028,Introduce a PropertyManager property type,closed,2016-04-29,2016-05-04,martyngigg,N,martyngigg,Release 3.7
16027,Add algorithm for tomographic reconstruction method(s),closed,2016-04-29,2016-05-18,raquelalvarezbanos,Y,FedeMPouzols,Release 3.7
16026,Conversion between image formats in tomography GUI,closed,2016-04-29,2016-05-17,AntonPiccardoSelg,Y,FedeMPouzols,Release 3.7
16025,Implement non-zero beam size in MonteCarloAbsorption algorithm,closed,2016-04-29,2016-05-05,FedeMPouzols,Y,martyngigg,Release 3.7
16024,Rename 'opening height' to 'vertical gap' in Reflectometry IDFs,closed,2016-04-29,2016-05-05,MattKing06,N,raquelalvarezbanos,Release 3.7
16023,Add ability to create Material objects from python,closed,2016-04-28,2016-08-10,peterfpeterson,N,peterfpeterson,
16022,Expose more neutronic information in python,closed,2016-04-28,2016-05-16,peterfpeterson,N,peterfpeterson,
16021,Add an empty/none marker option in pyplot.plot(),closed,2016-04-28,2016-04-29,tom-perkins,Y,FedeMPouzols,Release 3.7
16020,Add algorithm SaveFITS,closed,2016-04-28,2016-05-13,raquelalvarezbanos,Y,FedeMPouzols,Release 3.7
16019,Indirect Elwin - Obtain unit from sample logs,closed,2016-04-28,2017-01-23,louisemccann,N,ElliotAOram,Release 3.9
